Symbol;Security name;ISIN;Issuer;Fiscal / Unique Code;Shares;Face value;CAEN Code;District;Country;Exchange segment;Main Market;Tier;Status;Trading Model Type;Price steps list
FOJE;FORAJ SONDE SA VIDELE;ROFOJEACNOR1;FORAJ SONDE SA VIDELE;1397872;11326626;2.5000;0910;TELEORMAN;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FOMA;FORMA SA BOTOSANI;ROFOMAACNOR3;FORMA SA BOTOSANI;611977;927165;1.1600;2892;BOTOSANI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FOSB;FORAJ SONDE SA CRAIOVA;ROFORJACNOR3;FORAJ SONDE SA CRAIOVA;3730778;654671607;0.1000;0910;DOLJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FOSP;FORAJ SONDE SA ERNEI;ROFOSPACNOR8;FORAJ SONDE SA ERNEI;4727746;4381538;2.5000;0910;MURES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
GALF;GALFINBAND SA GALATI;ROGALFACNOR1;GALFINBAND SA GALATI;1633663;1708847;0.1000;2432;GALATI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
GAOY;GASTRONOM SA BUZAU;ROGAOYACNOR6;GASTRONOM SA BUZAU;1154474;306528;2.5000;6820;BUZAU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
GDP;GRUPUL EDITORILOR SI DIFUZORILOR DE PRESA S.A.;ROGDPSACNOR9;GRUPUL EDITORILOR SI DIFUZORILOR DE PRESA  S.A.;14889079;1915989;10.0000;6820;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
GHIM;A.T.C. - AGRO TOTAL CONSTRUCT SA GHIMBAV;ROGHIMACNOR8;A.T.C. - AGRO TOTAL CONSTRUCT SA GHIMBAV;1133390;47597;12.8200;0161;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
GRIU;GRIUL SA BUCURESTI;ROGRIUACNOR0;GRIUL SA BUCURESTI;426;14849473;0.1000;1071;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
GROB;GEROM SA BUZAU;ROGROBACNOR8;GEROM SA BUZAU;3109801;19423242;1.3100;2311;BUZAU;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
HAI;Holde Agri Invest S.A. - Clasa A;RO5RYSUM9FJ2;HOLDE AGRI INVEST S.A.;39549730;43069796;1.0000;6420;BUCURESTI;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM3
HEAL;HELIOS SA ASTILEU;ROHEALACNOR2;HELIOS SA ASTILEU;98716;1447266;2.5000;2320;BIHOR;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
HLEB;HERCULES SA BRAILA;ROHLEBACNOR0;HERCULES SA BRAILA;2265292;847444;2.5000;5222;BRAILA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
HUNT;IHUNT TECHNOLOGY IMPORT-EXPORT S.A.;RODHRTKI5XP6;IHUNT TECHNOLOGY IMPORT-EXPORT S.A.;34184455;14100000;0.1000;4791;PRAHOVA;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM2
IAMU;IAMU SA BLAJ;ROIAMUACNOR4;IAMU SA BLAJ;1766830;9500149;2.5000;2841;ALBA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
IANY;24 IANUARIE SA PLOIESTI;ROIANYACNOR4;24 IANUARIE SA PLOIESTI;1343490;488254;2.5000;2891;PRAHOVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
IASX;IASITEX SA IASI;ROIASXACNOR5;IASITEX SA BUCURESTI;1957058;2105179;10.2400;1320;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
ICER;ICERP SA PLOIESTI;ROICERACNOR3;ICERP SA PLOIESTI;2993997;363063;15.0000;2059;PRAHOVA;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
ICEV;INSTITUTUL DE CERCETARI PENTRU ACOPERIRI AVANSATE ICAA SA BUCURESTI;ROICEVACNOR5;INSTITUTUL DE CERCETARI PENTRU ACOPERIRI AVANSATE ICAA SA BUCURESTI;341644;2174564;2.5000;7219;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
ICMA;ICMA SA BUCURESTI;ROICMAACNOR2;ICMA SA BUCURESTI;324929;1102150;2.5000;2521;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
ICMR;ICMRS SA Galati;ROICMRACNOR6;ICMRS SA Galati;1633620;62242194;0.1000;4399;GALATI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
ICSH;ICSH SA HUNEDOARA;ROICSHACNOR4;ICSH SA HUNEDOARA;2126260;6554836;2.5000;4120;HUNEDOARA;RO;ATS;XRS1;AeRO Base;;Continuous trading;
ICSI;ICSIM SA BUCURESTI;ROICSIACNOR2;ICSIM SA BUCURESTI;353;1958825;2.5000;4120;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
INBO;LACTATE NATURA SA TARGOVISTE;ROINBOACNOR3;LACTATE NATURA SA TARGOVISTE;912465;3277401;2.5000;1051;DAMBOVITA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
INCT;INCERTRANS SA BUCURESTI;ROINCTACNOR0;INCERTRANS SA BUCURESTI;4282451;1188078;2.5000;7219;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
INMA;INDUSTRIE MICA PRAHOVA SA;ROINMAACNOR9;INDUSTRIE MICA SA PLOIESTI;1356635;422089;2.5000;2599;PRAHOVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
INOX;INOX SA MAGURELE;ROINOXACNOR7;INOX SA MAGURELE;409430;4393620;2.5000;2550;ILFOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
INSI;INDUSTRIA SARMEI CAMPIA TURZII SA;ROINSIACNOR9;INDUSTRIA SARMEI CAMPIA TURZII SA;199710;368424228;0.1000;2410;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
INTA;INDEPENDENTA SA SIBIU;ROINTAACNOR4;INDEPENDENTA SA SIBIU;2577677;2871694;2.5000;2891;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
IORB;IOR SA BUCURESTI;ROIORBACNOR4;IOR SA BUCURESTI;340312;304628844;0.1000;2670;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
IPHI;IPROCHIM SA Bucuresti;ROIPHIACNOR7;IPROCHIM SA Bucuresti;457747;326559;2.5000;7112;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
IPRO;IPROLAM SA BUCURESTI;ROIPROACNOR4;IPROLAM SA BUCURESTI;329;1014208;0.1000;7219;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
IPRU;IPROEB SA Bistrita;ROIPRUACNOR1;IPROEB SA Bistrita;566930;47572131;0.3000;2732;BISTRITA-NASAUD;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM1
IUBR;IUS SA BRASOV;ROIUBRACNOR1;IUS SA BRASOV;1109309;45970045;0.1000;2573;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
LACT;LACTAG SA COSTESTI;ROLACTACNOR1;LACTAG SA COSTESTI;129103;1021847;2.5000;1051;ARGES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
LCSI;LCS IMOBILIAR SA CLUJ NAPOCA;ROLCSIACNOR6;LCS IMOBILIAR SA CLUJ NAPOCA;19143125;1030000;0.1000;4110;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
LHA;DEUTSCHE LUFTHANSA A.G.;DE0008232125;DEUTSCHE LUFTHANSA A.G.;HRB 2168;471259644;-;-;-;DE;ATS;XRSI;Intl-MTS;Tradeable;Continuous trading;shareM5
